# header: 
#   title: Np237(n,g) thermal cross section
#   source: Resonancetables
#   date: 2025-09-08
# target: 
#   Z: 93
#   A: 237
#   nuclide: Np237
# reaction: 
#   type: (n,g)
# observables: 
#   selected value [b]:  1.788000E+02
#   selected value uncertainty [b]:  2.900000E+00
#   selected value source: Mughabghab-2018
#   number of values: 645
#   average value [b]:  1.786306E+02
#   relative standard deviation [%]:      5.212610
#   quantity: 
#     type: Compilation
#     average value:  1.773500E+02
#     relative standard deviation [%]:      0.817595
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Sukhoruchkin            Compilation          2015        1.759000E+02   2.900000E+00                      0.983781                  2.530000E-08
      Mughabghab-2018         Compilation          2018        1.788000E+02   2.900000E+00                      1.000000                  2.530000E-08
#   quantity: 
#     type: Compilation spectrum-averaged
#     average value:  1.749500E+02
#     relative standard deviation [%]:      0.543011
#   datablock: 
#     columns: 10
#     entries: 2
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      Mughabghab-2006         Compilation          2006        1.759000E+02   2.900000E+00                      0.983781   MXW            2.530000E-08
      Firestone-2022          Compilation          2022        1.740000E+02   3.000000E+00                      0.973154   MXW            2.530000E-08
#   quantity: 
#     type: EXFOR
#     average value:  1.789166E+02
#     relative standard deviation [%]:      4.973917
#   datablock: 
#     columns: 10
#     entries: 620
##    Author                         Type           Year           Value         dValue        Reference        Ratio        Spectrum        Energy
##      []             []             []             []             [b]            [b]            []             []             []            [MeV]
      G.Rovira                EXFOR                2020        1.720900E+02   6.419600E+00   23745-002-0        0.962472                  2.416900E-08
      G.Rovira                EXFOR                2020        1.657200E+02   5.921300E+00   23745-002-0        0.926846                  2.417200E-08
      G.Rovira                EXFOR                2020        1.858900E+02   6.402800E+00   23745-002-0        1.039653                  2.417600E-08
      G.Rovira                EXFOR                2020        1.776500E+02   6.633600E+00   23745-002-0        0.993568                  2.418000E-08
      G.Rovira                EXFOR                2020        1.839800E+02   6.495600E+00   23745-002-0        1.028971                  2.418300E-08
      G.Rovira                EXFOR                2020        1.866400E+02   6.514800E+00   23745-002-0        1.043848                  2.418700E-08
      G.Rovira                EXFOR                2020        1.673300E+02   6.183700E+00   23745-002-0        0.935850                  2.419100E-08
      G.Rovira                EXFOR                2020        1.754800E+02   6.170600E+00   23745-002-0        0.981432                  2.419500E-08
      G.Rovira                EXFOR                2020        1.896800E+02   7.054300E+00   23745-002-0        1.060850                  2.419800E-08
      G.Rovira                EXFOR                2020        1.772900E+02   6.389300E+00   23745-002-0        0.991555                  2.420200E-08
      G.Rovira                EXFOR                2020        1.823700E+02   6.349600E+00   23745-002-0        1.019966                  2.420600E-08
      G.Rovira                EXFOR                2020        1.805600E+02   6.626200E+00   23745-002-0        1.009843                  2.421000E-08
      G.Rovira                EXFOR                2020        1.818700E+02   6.491600E+00   23745-002-0        1.017170                  2.421300E-08
      G.Rovira                EXFOR                2020        1.850300E+02   6.391900E+00   23745-002-0        1.034843                  2.421700E-08
      G.Rovira                EXFOR                2020        1.884400E+02   6.433800E+00   23745-002-0        1.053915                  2.422100E-08
      G.Rovira                EXFOR                2020        1.814800E+02   6.563800E+00   23745-002-0        1.014989                  2.422500E-08
      G.Rovira                EXFOR                2020        1.763700E+02   6.487200E+00   23745-002-0        0.986409                  2.422800E-08
      G.Rovira                EXFOR                2020        1.873900E+02   6.739900E+00   23745-002-0        1.048043                  2.423200E-08
      G.Rovira                EXFOR                2020        1.831800E+02   6.427700E+00   23745-002-0        1.024497                  2.423600E-08
      G.Rovira                EXFOR                2020        1.871600E+02   6.431900E+00   23745-002-0        1.046756                  2.423900E-08
